tmc,NORMALIZEDSTART
129-09935,2075.9483
129+08984,34629.1381
129+08164,4838.4517
129+05534,4805.6527
129+06420,25073.9945
129+08377,5107.7821
129+08843,27445.1111
129+10214,2743.478
129+05688,20861.6192
129+08447,21203.1881
129-06477,16716.0305
129+10207,13481.1555
129+08832,11207.7542
129-08994,11435.7522
129-10226,12433.6339
129+05670,2634.2314
129+09941,8704.1295
129-05694,36984.5404
129+08723,7456.3221
129+10410,1680.6919
129+04818,19314.6918
129-05646,26089.2702
129+08904,20156.9221
129+09030,37418.1571
129+06481,14915.4142
129+08991,5929.507
129+08956,33847.1235
129+08704,14255.3817
129+08324,35609.1468
129-07619,9424.0014
129+09943,11267.135
129-04856,15979.5696
129+08689,13234.1622
129-06372,39022.8969
129-08709,8152.4619
129+04790,8662.398
129+08244,10333.7075
129+08948,18103.2702
129+05824,15791.0185
129-04796,19271.9503
129-06476,14453.4608
129-09906,14913.4341
129-05533,4685.8371
129+04799,21050.1164
129-08900,14103.7459
129-08114,31364.8918
129+05319,10127.3822
129-06365,8453.8461
129+05375,19908.3608
129-09028,34706.1628
129-08688,13257.5668
129-08712,3244.0346
129-08838,21095.3038
129+09903,25601.7964
129+08687,9402.317
129+08446,21562.6547
129+05675,8728.276
129+05376,20482.6907
129-05700,51051.6123
129+08709,9606.8882
129-08306,5065.5694
129-05376,23421.4093
129+08797,19395.604
129+08080,48708.9013
129-08166,10965.9429
129-08684,21555.2606
129+05368,5931.9312
129-08945,13791.8576
129+08708,9810.859
129-08162,4695.5481
129-08793,10371.0594
129-08171,1672.063
129+08959,37461.3599
129-05794,17995.9628
129+08837,18049.3058
129-06370,27790.9994
129+08165,7857.9259
129+05647,27794.2004
129-04793,14266.0162
129-08996,12464.6659
129+10222,9525.0272
129-04800,23073.092
129-05656,10589.2507
129+04835,13467.2928
129-10221,9614.3853
129-09025,30522.7216
129-08676,8116.6419
129-08990,5941.034
129+10037,9114.8506
129-08079,48668.2371
129-06421,9763.7286
129-08593,10933.0255
129-08475,1075.0943
129-04840,18456.0839
129-07604,3467.9965
129+05572,1315.6228
129+05582,24442.1426
129+08370,10731.33
129+08799,21548.086
129+08459,8007.4137
129+08703,15593.6382
129-09049,7898.7464
129-08828,4753.2994
129-05658,7233.8959
129+04868,18340.9562
129+08830,6252.3291
